,Business Id,Customer name,Customer full name,Billing address,Billing city,Billing state,Billing ZIP code,Shipping address,Shipping city,Shipping state,Shipping ZIP code,Balance
0,2,Valerie Kline,Valerie Kline,63755 Todd Course,North Teresastad,MT,12753,3928 Jones Fall Suite 223,Mosleymouth,KS,97173,--
1,2,Greg Cardenas,Greg Cardenas,1295 Jorge Glens,Lake Phillip,CA,97707,1613 David Pass Apt. 693,New Michael,WV,55587,--
2,2,Mr. Zachary Levy,Mr. Zachary Levy,Unit 4062 Box 5906,DPO,AE,37143,00251 Brenda Divide,South Kellyland,AK,62826,--
3,2,Taylor Hughes,Taylor Hughes,5925 Marshall Well,East Janetshire,SD,19616,67409 Michelle Freeway Apt. 616,Port Angela,NH,35634,--
4,2,Jodi Bishop,Jodi Bishop,7202 Smith Alley Apt. 719,North Shari,TX,94472,640 Adams Hill Apt. 398,North Vicki,AZ,35859,--
5,2,Andrew Flores,Andrew Flores,8372 Nancy Center,Lake Diane,MS,91857,33397 Alvarez Throughway Apt. 878,Lake Kristinaland,WY,51418,--
6,2,Earl Lee,Earl Lee,350 Amanda Cove Apt. 426,Amyfort,NC,41664,920 Morgan Heights,Port Dawn,FL,76696,--
7,2,Thomas Jackson,Thomas Jackson,USCGC Mccarty,FPO,AA,30642,823 Jordan Vista,New Beverly,SD,26836,--
8,2,Jason Johnson,Jason Johnson,3997 Carol Lock,Amandaside,SD,01845,103 Howard Loaf Suite 300,Leeland,CA,98478,--
9,2,Craig Greer,Craig Greer,747 Woods Corners Apt. 732,Lake Jonathanhaven,IA,46756,4336 Randall Points Suite 874,Oconnorstad,KY,47733,--
10,2,Jeffrey Fisher,Jeffrey Fisher,"PSC 2288, Box 7468",APO,AE,15555,23891 William Ville,Reedmouth,OK,24626,--
11,2,Amber Gilbert,Amber Gilbert,1319 Donna Stravenue,West Peter,NC,37429,717 Reynolds Freeway Apt. 589,Ginaberg,CA,21739,--
12,2,Jennifer Barrera,Jennifer Barrera,172 Robyn Route,Harriston,WY,34846,512 James Roads,South Austin,GA,41886,--
13,2,Tammy Haynes,Tammy Haynes,4895 Kathryn Freeway Suite 980,Martintown,KY,19365,0932 Luis Ville Suite 656,North Patrick,MH,97235,--
14,2,Amanda Simmons,Amanda Simmons,006 Nash Stravenue Suite 738,New Ralph,PR,71074,719 Smith Wall Suite 361,New Lindastad,WA,70783,--
15,2,Christopher Berry,Christopher Berry,42911 Whitaker Turnpike,Jefferychester,NJ,37466,USS Clark,FPO,AA,54812,--
16,2,Selena Simmons,Selena Simmons,68637 Christina Ramp Apt. 223,South Kristinaport,ND,95880,05285 Key Locks Suite 609,South John,MO,15815,--
17,2,Crystal Rosario,Crystal Rosario,5172 Tara Inlet,Gonzalesville,WA,68303,80956 Perez Coves Suite 042,Bryantchester,NJ,47400,--
18,2,Dale Hall,Dale Hall,951 Ramirez Overpass Apt. 447,New Michaelberg,NM,04437,USNS Bird,FPO,AE,11238,--
19,2,Isaac Baker,Isaac Baker,07126 Cook Forges,Melissashire,KY,97474,508 Wong Dam Apt. 044,Victoriaburgh,ID,57272,--
20,2,Lori Pope,Lori Pope,332 Sanchez Oval,Williamsburgh,KY,65072,29945 Ferguson Meadows Apt. 505,Alexisview,SD,59325,--
21,2,Christine Kaiser,Christine Kaiser,0063 Jordan Garden Suite 510,Port Kellyberg,MS,45228,002 Hayes Forks Suite 268,Michaeltown,MS,15685,--
22,2,Alexander Woods,Alexander Woods,2026 Arnold Springs,North Dylanchester,GU,47421,74877 Myers Corners Suite 224,Malonefurt,FL,71884,--
23,2,Kyle Bradshaw,Kyle Bradshaw,21525 Johnson Square Suite 138,Lake Jonathanville,MA,74834,497 Javier Curve,South Lanceborough,VA,30330,--
24,2,Todd Cruz,Todd Cruz,2772 Lauren Islands,Port Mitchellville,IL,78542,60484 Kevin Inlet Apt. 158,Sheltonville,WY,41994,--
