,Business Id,Vendor name,Billing address,Billing city,Billing state,Billing ZIP code,Balance
0,2,Cassidy Smith DDS,941 Moore Summit,Taylorchester,MI,35380,--
1,2,Jason Rodriguez,17910 Phillips Shore,Port Laura,NY,86840,--
2,2,Gary Kim,35633 David Expressway Apt. 354,Michelleton,NV,91248,--
3,2,Kevin Scott,108 Long Meadows Apt. 998,Roberttown,CO,37979,--
4,2,Cheryl Martinez,9634 Brooks Knoll Suite 016,New Andreaville,ID,25845,--
5,2,Terri Hill,0174 Maria Valleys,North Justinton,OK,39777,--
6,2,Zachary Garcia DVM,"PSC 2403, Box 3355",APO,AP,37582,--
7,2,Derek Carroll,584 Cooper Spring,North Thomasfurt,AL,22386,--
8,2,Christina Wilson,98056 Wolfe Shoals,Melissafort,MN,95936,--
9,2,Ruben Hughes,87804 Victoria Burg Suite 336,Ramirezfurt,ME,07044,--
10,2,Matthew Rogers,28597 Stacey Greens,South Olivia,NC,53509,--
11,2,Mr. Anthony Gonzalez,34208 Lawson Turnpike,Barkermouth,NH,90492,--
12,2,Joshua Black,1952 Hayes Parkway,Robertbury,AS,91901,--
13,2,Darrell Bell,6561 Martin Square,Lake Paulahaven,MD,84429,--
14,2,Wendy Branch,937 Makayla Ways,Nathanielmouth,WA,15976,--
15,2,Kimberly Ramirez,5799 Zachary Canyon Apt. 357,Hartborough,AL,16535,--
16,2,Luke Gallegos,2763 Nelson Mill Suite 775,North Mark,LA,89676,--
17,2,Vincent Evans,2387 Parker Mount,Williammouth,WY,08601,--
18,2,Katherine Herrera,265 Timothy Forest,Port Garyton,ME,23869,--
19,2,Crystal Maxwell,3169 Chen Light Apt. 587,Kathrynport,HI,83595,--
20,2,Melinda Coleman,1309 Michele Island,North Brendaland,VA,12552,--
21,2,Andrew Torres,98818 Angela Crossing,Padillastad,LA,43875,--
22,2,Kevin Norman,81309 Lawrence Meadows Suite 770,Williamston,DE,03209,--
23,2,Christian Acevedo,Unit 7345 Box 2211,DPO,AP,77491,--
24,2,Jeffrey Cruz,USCGC Armstrong,FPO,AP,30322,--
